date,STATE,Abnormal_Weather,State_Partisan_Learning,google_search_climate,google_search_hoax
1/1/2004,ALABAMA,0,Conservative,0,0
2/1/2004,ALABAMA,0,Conservative,0,0
3/1/2004,ALABAMA,0,Conservative,0,0
4/1/2004,ALABAMA,0,Conservative,0,0
5/1/2004,ALABAMA,0,Conservative,0,0
6/1/2004,ALABAMA,1,Conservative,0,0
7/1/2004,ALABAMA,0,Conservative,0,0
8/1/2004,ALABAMA,0,Conservative,0,0
9/1/2004,ALABAMA,1,Conservative,21,0
10/1/2004,ALABAMA,0,Conservative,11,0
11/1/2004,ALABAMA,0,Conservative,11,0
12/1/2004,ALABAMA,1,Conservative,0,0
1/1/2005,ALABAMA,0,Conservative,0,0
2/1/2005,ALABAMA,0,Conservative,9,0
3/1/2005,ALABAMA,3,Conservative,0,0
4/1/2005,ALABAMA,5,Conservative,0,0
5/1/2005,ALABAMA,0,Conservative,0,0
6/1/2005,ALABAMA,2,Conservative,8,0
7/1/2005,ALABAMA,10,Conservative,8,0
8/1/2005,ALABAMA,10,Conservative,0,0
9/1/2005,ALABAMA,1,Conservative,0,0
10/1/2005,ALABAMA,0,Conservative,0,0
11/1/2005,ALABAMA,0,Conservative,7,0
12/1/2005,ALABAMA,0,Conservative,6,0
1/1/2006,ALABAMA,0,Conservative,6,0
2/1/2006,ALABAMA,0,Conservative,11,0
3/1/2006,ALABAMA,1,Conservative,5,0
4/1/2006,ALABAMA,0,Conservative,0,0
5/1/2006,ALABAMA,1,Conservative,0,0
6/1/2006,ALABAMA,0,Conservative,5,0
7/1/2006,ALABAMA,5,Conservative,5,0
8/1/2006,ALABAMA,8,Conservative,9,0
9/1/2006,ALABAMA,6,Conservative,0,0
10/1/2006,ALABAMA,0,Conservative,4,0
11/1/2006,ALABAMA,1,Conservative,9,0
12/1/2006,ALABAMA,0,Conservative,0,0
1/1/2007,ALABAMA,1,Conservative,4,0
2/1/2007,ALABAMA,2,Conservative,11,0
3/1/2007,ALABAMA,4,Conservative,9,0
4/1/2007,ALABAMA,7,Conservative,12,0
5/1/2007,ALABAMA,7,Conservative,8,0
6/1/2007,ALABAMA,3,Conservative,3,0
7/1/2007,ALABAMA,8,Conservative,5,0
8/1/2007,ALABAMA,15,Conservative,9,0
9/1/2007,ALABAMA,7,Conservative,12,0
10/1/2007,ALABAMA,7,Conservative,7,0
11/1/2007,ALABAMA,5,Conservative,12,0
12/1/2007,ALABAMA,5,Conservative,6,0
1/1/2008,ALABAMA,7,Conservative,9,0
2/1/2008,ALABAMA,6,Conservative,3,0
3/1/2008,ALABAMA,7,Conservative,5,0
4/1/2008,ALABAMA,5,Conservative,8,0
5/1/2008,ALABAMA,3,Conservative,11,0
6/1/2008,ALABAMA,5,Conservative,4,0
7/1/2008,ALABAMA,4,Conservative,4,0
8/1/2008,ALABAMA,6,Conservative,13,0
9/1/2008,ALABAMA,3,Conservative,8,0
10/1/2008,ALABAMA,2,Conservative,7,0
11/1/2008,ALABAMA,0,Conservative,5,0
12/1/2008,ALABAMA,3,Conservative,6,0
1/1/2009,ALABAMA,2,Conservative,7,0
2/1/2009,ALABAMA,0,Conservative,2,0
3/1/2009,ALABAMA,3,Conservative,7,0
4/1/2009,ALABAMA,3,Conservative,15,0
5/1/2009,ALABAMA,7,Conservative,8,0
6/1/2009,ALABAMA,4,Conservative,7,0
7/1/2009,ALABAMA,2,Conservative,10,0
8/1/2009,ALABAMA,0,Conservative,6,0
9/1/2009,ALABAMA,12,Conservative,8,0
10/1/2009,ALABAMA,0,Conservative,13,42
11/1/2009,ALABAMA,0,Conservative,13,0
12/1/2009,ALABAMA,6,Conservative,23,0
1/1/2010,ALABAMA,3,Conservative,12,0
2/1/2010,ALABAMA,1,Conservative,14,0
3/1/2010,ALABAMA,1,Conservative,12,0
4/1/2010,ALABAMA,0,Conservative,15,41
5/1/2010,ALABAMA,4,Conservative,4,0
6/1/2010,ALABAMA,4,Conservative,4,0
7/1/2010,ALABAMA,2,Conservative,4,0
8/1/2010,ALABAMA,10,Conservative,5,0
9/1/2010,ALABAMA,3,Conservative,4,0
10/1/2010,ALABAMA,5,Conservative,5,0
11/1/2010,ALABAMA,3,Conservative,10,0
12/1/2010,ALABAMA,4,Conservative,6,0
1/1/2011,ALABAMA,2,Conservative,3,20
2/1/2011,ALABAMA,4,Conservative,9,0
3/1/2011,ALABAMA,10,Conservative,6,0
4/1/2011,ALABAMA,4,Conservative,6,0
5/1/2011,ALABAMA,4,Conservative,5,0
6/1/2011,ALABAMA,2,Conservative,5,0
7/1/2011,ALABAMA,6,Conservative,4,0
8/1/2011,ALABAMA,7,Conservative,6,0
9/1/2011,ALABAMA,5,Conservative,4,20
10/1/2011,ALABAMA,2,Conservative,5,0
11/1/2011,ALABAMA,2,Conservative,5,0
12/1/2011,ALABAMA,3,Conservative,4,19
1/1/2012,ALABAMA,5,Conservative,6,0
2/1/2012,ALABAMA,3,Conservative,9,0
3/1/2012,ALABAMA,4,Conservative,7,0
4/1/2012,ALABAMA,3,Conservative,6,0
5/1/2012,ALABAMA,3,Conservative,5,0
6/1/2012,ALABAMA,10,Conservative,5,0
7/1/2012,ALABAMA,14,Conservative,5,0
8/1/2012,ALABAMA,7,Conservative,5,0
