"","X","Month","STATE","freq"
"1",1,2004-04-01,"ALABAMA",NA
"2",2,2004-08-01,"ALABAMA",NA
"3",3,2004-12-01,"ALABAMA",1
"4",4,2004-02-01,"ALABAMA",NA
"5",5,2004-01-01,"ALABAMA",NA
"6",6,2004-07-01,"ALABAMA",NA
"7",7,2004-06-01,"ALABAMA",1
"8",8,2004-03-01,"ALABAMA",NA
"9",9,2004-05-01,"ALABAMA",NA
"10",10,2004-11-01,"ALABAMA",NA
"11",11,2004-10-01,"ALABAMA",NA
"12",12,2004-09-01,"ALABAMA",1
"13",13,2005-04-01,"ALABAMA",5
"14",14,2005-08-01,"ALABAMA",10
"15",15,2005-12-01,"ALABAMA",NA
"16",16,2005-02-01,"ALABAMA",NA
"17",17,2005-01-01,"ALABAMA",NA
"18",18,2005-07-01,"ALABAMA",10
"19",19,2005-06-01,"ALABAMA",2
"20",20,2005-03-01,"ALABAMA",3
"21",21,2005-05-01,"ALABAMA",NA
"22",22,NA,"ALABAMA",NA
"23",23,2005-11-01,"ALABAMA",NA
"24",24,2005-10-01,"ALABAMA",NA
"25",25,2005-09-01,"ALABAMA",1
"26",26,2006-04-01,"ALABAMA",NA
"27",27,2006-08-01,"ALABAMA",8
"28",28,2006-12-01,"ALABAMA",NA
"29",29,2006-02-01,"ALABAMA",NA
"30",30,2006-01-01,"ALABAMA",NA
"31",31,2006-07-01,"ALABAMA",5
"32",32,2006-06-01,"ALABAMA",NA
"33",33,2006-03-01,"ALABAMA",1
"34",34,2006-05-01,"ALABAMA",1
"35",35,2006-11-01,"ALABAMA",1
"36",36,2006-10-01,"ALABAMA",NA
"37",37,2006-09-01,"ALABAMA",6
"38",38,2007-04-01,"ALABAMA",7
"39",39,2007-08-01,"ALABAMA",15
"40",40,2007-12-01,"ALABAMA",5
"41",41,2007-02-01,"ALABAMA",2
"42",42,2007-01-01,"ALABAMA",1
"43",43,2007-07-01,"ALABAMA",8
"44",44,2007-06-01,"ALABAMA",3
"45",45,2007-03-01,"ALABAMA",4
"46",46,2007-05-01,"ALABAMA",7
"47",47,2007-11-01,"ALABAMA",5
"48",48,2007-10-01,"ALABAMA",7
"49",49,2007-09-01,"ALABAMA",7
"50",50,2008-04-01,"ALABAMA",5
"51",51,2008-08-01,"ALABAMA",6
"52",52,2008-12-01,"ALABAMA",3
"53",53,2008-02-01,"ALABAMA",6
"54",54,2008-01-01,"ALABAMA",7
"55",55,2008-07-01,"ALABAMA",4
"56",56,2008-06-01,"ALABAMA",5
"57",57,2008-03-01,"ALABAMA",7
"58",58,2008-05-01,"ALABAMA",3
"59",59,2008-11-01,"ALABAMA",NA
"60",60,2008-10-01,"ALABAMA",2
"61",61,2008-09-01,"ALABAMA",3
"62",62,2009-04-01,"ALABAMA",3
"63",63,2009-08-01,"ALABAMA",NA
"64",64,2009-12-01,"ALABAMA",6
"65",65,2009-02-01,"ALABAMA",NA
"66",66,2009-01-01,"ALABAMA",2
"67",67,2009-07-01,"ALABAMA",2
"68",68,2009-06-01,"ALABAMA",4
"69",69,2009-03-01,"ALABAMA",3
"70",70,2009-05-01,"ALABAMA",7
"71",71,2009-11-01,"ALABAMA",NA
"72",72,2009-10-01,"ALABAMA",NA
"73",73,2009-09-01,"ALABAMA",12
"74",74,2010-04-01,"ALABAMA",NA
"75",75,2010-08-01,"ALABAMA",10
"76",76,2010-12-01,"ALABAMA",4
"77",77,2010-02-01,"ALABAMA",1
"78",78,2010-01-01,"ALABAMA",3
"79",79,2010-07-01,"ALABAMA",2
"80",80,2010-06-01,"ALABAMA",4
"81",81,2010-03-01,"ALABAMA",1
"82",82,2010-05-01,"ALABAMA",4
"83",83,2010-11-01,"ALABAMA",3
"84",84,2010-10-01,"ALABAMA",5
"85",85,2010-09-01,"ALABAMA",3
"86",86,2011-04-01,"ALABAMA",4
"87",87,2011-08-01,"ALABAMA",7
"88",88,2011-12-01,"ALABAMA",3
"89",89,2011-02-01,"ALABAMA",4
"90",90,2011-01-01,"ALABAMA",2
"91",91,2011-07-01,"ALABAMA",6
"92",92,2011-06-01,"ALABAMA",2
"93",93,2011-03-01,"ALABAMA",10
"94",94,2011-05-01,"ALABAMA",4
"95",95,2011-11-01,"ALABAMA",2
"96",96,2011-10-01,"ALABAMA",2
"97",97,2011-09-01,"ALABAMA",5
"98",98,2012-04-01,"ALABAMA",3
"99",99,2012-08-01,"ALABAMA",7
